Astar Materyali,Ayakkabi Tabani,Baglama Sekli,Bilek Stili,Boy / Olcu,Deri Kalitesi,Desen,Dis Materyal,Ek Ozellik,Kalip,Koleksiyon,Kullanim Alani,Kumas Tipi,Okula Donus,Renk,Saya Materyali,Spor Bransi,Spor Turu,Taban,Taban Materyali,Taban Tipi,Topuk Tipi,Zemin,Cesit,Civi Tipi,Izolasyon,Ic Taban Materyali,price
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1999 
2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1059 
1,0,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,4,1,1,0,0,0,0,1,2451 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,645 
0,0,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2799 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,239 
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,849 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1658 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,849 
0,0,3,0,3,0,0,2,1,2,0,3,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,3490 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5819 
1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,2,4,0,0,0,0,1,225 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2999 
0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3795 
0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2286 
1,0,1,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2399 
0,0,1,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2990 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2690 
2,0,1,0,0,0,2,2,1,0,0,1,1,0,3,2,0,0,0,0,0,1,0,0,0,0,2,2275 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3590 
0,0,3,0,0,0,0,2,0,1,0,3,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2969 
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2187 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1499 
3,0,1,0,0,2,0,0,1,0,5,0,0,0,1,3,0,0,0,2,0,1,0,0,0,0,3,2901 
3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4499 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1349 
0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1936 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,888 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,599 
0,1,1,1,0,0,0,4,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1199 
2,0,1,0,0,0,2,2,1,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,0,2,2465 
0,0,3,0,2,0,0,4,0,1,0,3,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1970 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,799 
2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1309 
0,0,1,0,0,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2663 
2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1059 
0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2727 
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,690 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2544 
0,0,1,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3495 
