Unnamed: 0,Astar Materyali,Bağlama Şekli,Desen,Dış Materyal,Ek Özellik,Kullanım Alanı,Kumaş Tipi,Materyal,Materyal Bileşeni,Ortam,Persona,Renk,Saya Materyali,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,İç Taban Materyali,url,price
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Düz,,,,,Suni Deri,100% Materyal bilgisi için iç etiketi kontrol ediniz.,Casual&Comfort,,Gri,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-fume-kaymaz-eva-taban-suet-sneaker-p-339403942,2357 
,,Bağcıksız,,,,,,Süet,,,,Gri,,Kauçuk,,,,,,https://www.trendyol.com/slipcat/unisex-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-343216615,699 
,Tekstil,Fermuarlı,,Mikrofiber,Su Geçirmez,Outdoor,,Su Geçirmez,,,,Siyah,,,,,,,Tekstil,https://www.trendyol.com/fast-step/su-gecirmez-siyah-erkek-outdoor-bot-117sma1241-p-223035075,6247 
,Suni Deri,Bağcıksız,,Suni Deri,,Günlük,,Suni Deri,,,,Siyah,,,,,Kısa Topuklu (1- 4 cm),İnce Topuklu,Suni Deri,https://www.trendyol.com/zegeshoes/chelsea-erkek-kislik-bot-mat-siyah-ortopedik-taban-hediyeli-p-159079015,1372 
,Tekstil,Bağcıksız,Düz,Suni Deri,Su Geçirmez,Günlük,Kumaş,Suni Deri,,,Cool Comfort,Siyah,Suni Deri,PVC,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,Tekstil,https://www.trendyol.com/by-oxford/su-soguk-gecirmez-kurklu-garantili-unisex-kislik-fermuarli-bot-taban-saglam-p-336638416,279 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Tekstil,Bağcıklı,Düz,Tekstil,Ek Özellik Mevcut Değil,Spor,Örme,Tekstil,"62% Poliüretan, 35% Viskoz, 3% Elastan",Sportswear,Cool Comfort,Siyah,Tekstil,,,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,Tekstil,https://www.trendyol.com/hummel/porter-unisex-siyah-spor-ayakkabi-p-37336440,4395 
,,,,,,,,,,,,Lacivert,,,,,,,,https://www.trendyol.com/kinetix/rain-erkek-spor-ayakkabi-100483548-p-294977351,2083 
,,Bağcıklı,,Tekstil,,Spor,,,,,,Siyah,,EVA,,,,,,https://www.trendyol.com/adidas/showtheway-2-0-erkek-gunluk-spor-ayakkabi-gy6348-siyah-p-259992046,799 
,,Bağcıklı,,,,,,,,,,Bej,,,,,,,,https://www.trendyol.com/big-king/col-postal-erkek-bot-p-151047173,3740 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,Bağcıklı,Düz,,Ortopedik Taban,Spor,Örme,Suni Deri,"62% Poliüretan, 35% Viskoz, 3% Elastan",Casual&Comfort,,Siyah,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-siyah-spor-ayakkabi-tb107-p-6044874,2196 
,,Bağcıklı,,Mikrofiber,,Outdoor,,Suni Deri,,,,Siyah,,,Poliüretan Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/xstreet/air-101-unisex-spor-ayakkabi-sneakers-p-263719090,1190 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Tekstil,Bağcıklı,Renk Bloklu,,,,,,100% Materyal bilgisi için iç etiketi kontrol ediniz.,Casual&Comfort,,Haki,Suni Deri,Kauçuk,,,Kısa Topuklu (1- 4 cm),Dolgu Topuklu,,https://www.trendyol.com/slazenger/haakon-erkek-outdoor-ayakkabi-haki-p-332217963,6290 
,,Bağcıklı,,Mikrofiber,,Outdoor,,Tekstil,,,,Bej,,,Air Zoom,Düz Taban,,,,https://www.trendyol.com/freemax/unisex-garantili-ortopedik-hafif-esnek-saglam-sneaker-spor-ayakkabi-bej-kahve-p-261664025,2990 
,,,,,,,,Peluş,,,,Gri,,,,,,,,https://www.trendyol.com/slipcat/tavsan-figurlu-gri-pelus-panduf-ev-pandufu-unisex-p-343067366,1062 
,,Bağcıklı,,,Ek Özellik Mevcut Değil,Spor,,Tekstil,,,Cool Comfort,Siyah,,,,Düz Taban,,Düz Topuklu,,https://www.trendyol.com/jump/26636-erkek-spor-ayakkabi-p-121214615,3040 
,,Bağcıklı,,Mikrofiber,,Outdoor,,Pamuk-Polyester,,,,Siyah,,,,,,,,https://www.trendyol.com/slazenger/general-su-soguk-dayanikli-kislik-erkek-ayakkabi-p-50885966,550 
,,,,,,,,,,,,Gri,,,,,,,,https://www.trendyol.com/new-balance/gm500tsn-p-48139011,589 
,,Bağcıklı,,Mikrofiber,,Outdoor,,Tekstil,,,,Beyaz,,,Air Zoom,Düz Taban,,,,https://www.trendyol.com/freemax/unisex-garantili-ortopedik-hafif-esnek-saglam-sneaker-spor-ayakkabi-beyaz-oranj-p-261668927,2990 
,,Bağcıksız,Yazılı,,Esnek,,,Poliüretan,,Günlük,,Yeşil,,,,,,,,https://www.trendyol.com/fly-fix/unisex-duz-topuk-kaymaz-terlik-p-359415529,404 
,,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/lumberjack/moncton-2pr-erkek-outdoor-p-320095417,499 
,,Bağcıksız,,,,,,Süet,,,,Siyah,,,,,Kısa Topuklu (1- 4 cm),,,https://www.trendyol.com/pnr-terlik/unisex-siyah-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-151179062,65 
,,Bağcıklı,,Süet,,Spor,,Tekstil,,,,Siyah,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,,,,https://www.trendyol.com/lujinstore/unisex-spor-ayakkabi-p-123332989,1399 
,,,,,,,,Peluş,,,,Beyaz,,,,,,,,https://www.trendyol.com/slipcat/tavsan-figurlu-beyaz-pelus-panduf-ev-pandufu-unisex-p-343055239,994 
,,Bağcıklı,,,,,,Poliüretan,,,,Beyaz,,,,Düz Taban,,,,https://www.trendyol.com/bershka/cok-katli-spor-ayakkabi-p-336276940,3995 
,,,,,,,,,,,,Gri,,,,,,,,https://www.trendyol.com/twigy/yy0271-tw-siberia-erkek-hayvanli-panduf-gri-40-45-p-165222968,1999 
,Suni Deri,Bağcıklı,,Suni Deri,,,,,,,,Siyah,,PVC,,Kalın Taban,Kısa Topuklu (1- 4 cm),,,https://www.trendyol.com/soho-exclusive/siyah-beyaz-unisex-sneaker-14361-p-34108212,1059 
,Tekstil,Bağcıklı,,Tekstil,Ortopedik Taban,Outdoor,,Tekstil,,Casual&Comfort,Cool Comfort,Siyah,Tekstil,PVC,Air Zoom,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,Tekstil,https://www.trendyol.com/mech-butik/unisex-gunluk-kadin-erkek-siyah-beyaz-bilekli-my-melody-kuromi-baskili-sneaker-keten-spor-ayakkabi-p-305352460,2451 
,,,,,,,,Tekstil,,,,Gri,,Termoplastik,,,,,,https://www.trendyol.com/fogs/unisex-panduf-ev-ici-ayakkabisi-yumusak-taban-p-51876310,645 
,,Bağcıklı,,Suni Deri,,Outdoor,,Suni Deri,,,,Beyaz,,,Air Zoom,Kalın Taban,,,,https://www.trendyol.com/entiti/suni-deri-yuksek-taban-spor-ayakkabi-gunluk-ayakkabi-p-148746124,2799 
,,,,,,,,Tekstil,,,,Gri,,,,,,,,https://www.trendyol.com/twigy/unisex-siberia-hayvanli-gri-panduf-yeni-sezon-kurt-p-166195654,239 
,,,,,,Spor,,Tekstil,,,Cool Comfort,Siyah,,,,Düz Taban,,Düz Topuklu,,https://www.trendyol.com/adidas/breaknet-siyah-erkek-sneaker-ayakkabi-p-48886053,849 
,,,,,,,,Tekstil,,,,Siyah,,,,,,,,https://www.trendyol.com/xstreet/jota-unisex-spor-ayakkabi-kosu-yuruyus-ayakkabisi-p-282423652,1658 
